Rows,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
eve3746_tlm01,0.00372398,0.00379607,0.00382871,0.00375418,0.00371394,0.0036507,0.00362303,0.00361404,0.00360889,0.00360587,0.00360616,0.00360568,0.00360579,0.00360649,0.00360766,0.00361079,0.00362233,0.0036367,0.00366677,0.00376327,0.00402336,0.00411778,0.00494329,0.0050096,0.00553429,0.00460933,0.00422807,0.00415976,0.00442863,0.00516993,0.00528208,0.00537315,0.00524602,0.00545599,0.00556574,0.00603704,0.00601297,0.00695099,0.00646209,0.00637817,0.00674064,0.00795598,0.00894371,0.0123131,0.0305662,0.0813003,0.148237,0.419735,0.401893,0.46792,0.485816,0.542088,0.525258,0.320186,0.189392,0.123369,0.118145,0.0692992,0.0695404,0.0289875,0.0151975,0.0152121,0.0163746,0.00561469,0.00631853,0.00720302,0.00947525,0.0125707,0.02569,0.0687214,0.160671,0.330037,0.515788,0.60883,0.628018,0.630185,0.630961,0.631524,0.631345,0.631019,0.63018,0.628182,0.624642,0.619017,0.600437,0.541119,0.436242,0.296011,0.219126,0.116529,0.0892402,0.0489294,0.0386967,0.0291609,0.0206569,0.0171499,0.0108149,0.0101961,0.00954452,0.00572916
eve3746_tlm02,0.00391162,0.00389563,0.00388376,0.00392708,0.00398532,0.00395075,0.00389827,0.0038632,0.00382508,0.00380246,0.00378927,0.003779,0.00375931,0.00375199,0.00374927,0.00374828,0.0037522,0.00375989,0.00377622,0.00382094,0.00395336,0.00401072,0.00449391,0.00455081,0.00493081,0.00434416,0.00416374,0.0041065,0.00434446,0.00495943,0.00490159,0.00502027,0.00487781,0.00509024,0.00517876,0.00557136,0.00546185,0.00612521,0.00558854,0.00537764,0.00551613,0.00619267,0.00667474,0.00834186,0.0162664,0.0352505,0.0633099,0.217228,0.203725,0.265969,0.281659,0.367516,0.328332,0.211607,0.205098,0.185496,0.136161,0.101022,0.0982012,0.0544711,0.0355566,0.0336061,0.0347151,0.0211168,0.0258579,0.0313417,0.043605,0.0542881,0.0907161,0.15539,0.217373,0.284023,0.397096,0.566019,0.638534,0.646466,0.648445,0.650502,0.648871,0.646585,0.640313,0.6254,0.596266,0.558228,0.454377,0.300646,0.186783,0.113772,0.0889783,0.0587896,0.0532,0.0333073,0.0270532,0.0213943,0.0162362,0.0138351,0.00948676,0.00915269,0.00881763,0.00544152
eve3746_tlm03,0.00337501,0.00344006,0.00347016,0.00340172,0.00336276,0.00330713,0.0032842,0.00327643,0.00327219,0.00326928,0.00326874,0.00326814,0.00326736,0.00326715,0.00326721,0.0032678,0.00327006,0.00327418,0.00328415,0.00331664,0.00341536,0.00345955,0.00382385,0.00386762,0.00416037,0.00371785,0.00358673,0.00354336,0.00372969,0.0042507,0.00429744,0.00446157,0.00436782,0.0046092,0.00473617,0.00522021,0.00517756,0.0061616,0.00555383,0.00538707,0.00574279,0.00710084,0.00830269,0.0127519,0.0377484,0.101996,0.174065,0.401325,0.379757,0.429771,0.444503,0.493292,0.487776,0.343793,0.188622,0.0690836,0.0393635,0.0188556,0.0175399,0.00880214,0.00572727,0.00586489,0.00617793,0.00361076,0.00373226,0.0038511,0.00414181,0.00453881,0.00625945,0.0130705,0.0534531,0.285468,0.509894,0.565121,0.572336,0.57294,0.573109,0.573367,0.573129,0.572777,0.571943,0.569879,0.566304,0.560664,0.543514,0.49205,0.405824,0.291419,0.227431,0.13309,0.105453,0.0616072,0.0490347,0.0369407,0.0256686,0.0209901,0.0120974,0.0111192,0.01009,0.00526045
eve3746_tlm04,0.00334317,0.00347471,0.00351413,0.00347621,0.0034138,0.00325242,0.00315302,0.00310079,0.00306041,0.0030356,0.00302293,0.00301183,0.0029974,0.00299144,0.00298958,0.002991,0.00299528,0.00300787,0.00303619,0.00311912,0.00333401,0.00341597,0.00407564,0.00412761,0.00454651,0.00379367,0.00354627,0.00346438,0.00377148,0.00462931,0.00470056,0.00502386,0.00489545,0.00533025,0.005595,0.00647921,0.00642359,0.00815483,0.00717841,0.00692614,0.00758335,0.00941745,0.010745,0.0152647,0.034902,0.0795995,0.132592,0.335715,0.320981,0.371419,0.384196,0.432535,0.414403,0.263816,0.21021,0.195025,0.253069,0.202426,0.239497,0.138946,0.0831672,0.0867274,0.0946386,0.0172118,0.0209965,0.0255672,0.0360235,0.0454501,0.078155,0.140482,0.209948,0.304947,0.431301,0.502792,0.51631,0.517601,0.51801,0.518318,0.518146,0.517893,0.517183,0.515482,0.51244,0.507906,0.494317,0.459589,0.410489,0.342362,0.299067,0.219717,0.193331,0.131402,0.105601,0.0802832,0.0551944,0.0449353,0.0239645,0.0206623,0.0171165,0.00767054
eve3746_tlm07,0.0061215,0.00619858,0.00619869,0.00626422,0.0064083,0.00626237,0.00608129,0.00597116,0.00583222,0.00576893,0.00573387,0.00567481,0.00561586,0.00558643,0.00556969,0.0055647,0.00558943,0.00561715,0.00567711,0.00585421,0.00628148,0.00642347,0.00767817,0.00775738,0.00853501,0.00708316,0.00655194,0.00639845,0.0069145,0.00844009,0.00865213,0.00926839,0.00907538,0.00993863,0.010505,0.012357,0.0123822,0.0163035,0.0143551,0.0140023,0.0158329,0.0207709,0.0248622,0.038628,0.102814,0.23948,0.366392,0.718814,0.687165,0.751884,0.767528,0.826699,0.805731,0.582945,0.46293,0.405164,0.444434,0.35971,0.419484,0.248249,0.152005,0.156739,0.169636,0.0389054,0.0475533,0.0582167,0.0825591,0.104264,0.176662,0.305159,0.436484,0.604904,0.798304,0.901312,0.921789,0.92393,0.924631,0.925155,0.924981,0.924636,0.923772,0.921726,0.918357,0.91324,0.898329,0.854455,0.780414,0.661812,0.575649,0.408758,0.343908,0.228773,0.184034,0.139684,0.0958405,0.0780075,0.04159,0.035949,0.0299815,0.0134587
eve3746_tlm11,0.0108075,0.0134163,0.0128039,0.0182006,0.0183031,0.0162776,0.0130401,0.0102129,0.00826068,0.00672584,0.00545137,0.00494725,0.00375124,0.0034563,0.00368548,0.00416009,0.00583508,0.00772543,0.00845004,0.0095941,0.011605,0.0116415,0.0141746,0.0137504,0.0151548,0.0117084,0.0106158,0.0095847,0.0106886,0.0139129,0.0121718,0.0126764,0.0109447,0.0120155,0.0121441,0.0148421,0.0120315,0.015814,0.0103197,0.0078561,0.00762341,0.00930826,0.00964137,0.01298,0.0310129,0.0678238,0.0985545,0.209194,0.188049,0.207798,0.209955,0.23098,0.217669,0.125766,0.104851,0.0895533,0.0855295,0.0548159,0.0590372,0.0249504,0.0124904,0.0128683,0.0144157,0.00407498,0.00544255,0.00752203,0.0132806,0.0213231,0.0537286,0.133047,0.204871,0.247113,0.263216,0.265983,0.266229,0.266245,0.266251,0.266254,0.266252,0.266249,0.266238,0.266208,0.26614,0.266027,0.26565,0.264788,0.263784,0.26211,0.260622,0.256144,0.254236,0.242963,0.231191,0.210774,0.171106,0.144995,0.0653576,0.0474742,0.0304641,0.00622012
eve3746_tlm18,0.00311646,0.00316429,0.00318149,0.00314977,0.0031573,0.00308527,0.00302632,0.00299573,0.00296453,0.0029468,0.00293936,0.0029314,0.00291799,0.00291442,0.00291517,0.00292097,0.00294718,0.00297564,0.00303048,0.00319064,0.00356123,0.00367313,0.00462453,0.0046643,0.00517153,0.00413647,0.00371743,0.0036076,0.00397093,0.00501157,0.00510917,0.00544645,0.00528566,0.00575135,0.00603577,0.00703677,0.00692771,0.00888331,0.00774702,0.00742589,0.00815074,0.0101541,0.0115456,0.0163485,0.0369611,0.0831314,0.135917,0.333055,0.318882,0.366597,0.378818,0.423898,0.407274,0.259058,0.1953,0.169594,0.196545,0.155353,0.187161,0.106958,0.0643678,0.0671246,0.0732123,0.0165282,0.0201497,0.024423,0.0340862,0.0425069,0.0716362,0.124788,0.181913,0.275392,0.417305,0.490638,0.502343,0.503314,0.503603,0.50383,0.503646,0.503423,0.502787,0.501294,0.49864,0.494718,0.482942,0.453573,0.413159,0.354839,0.316478,0.244155,0.222965,0.156915,0.126983,0.0965324,0.0653402,0.0526232,0.0262055,0.0218064,0.0173122,0.00697689
eve3746_tlm19,0.00354073,0.00359446,0.00361327,0.00357696,0.0035877,0.00350538,0.00343666,0.00340058,0.0033633,0.0033414,0.00333112,0.00332115,0.00330375,0.00329795,0.00329682,0.00329963,0.00331627,0.00333571,0.00337524,0.00348831,0.00376841,0.00386469,0.00468254,0.00473593,0.0052306,0.00430671,0.00396273,0.00387303,0.00419632,0.0051492,0.0052904,0.00566003,0.00553774,0.006059,0.00639805,0.00752689,0.00753268,0.00993262,0.00872267,0.00849222,0.0095913,0.0125973,0.0150711,0.0235342,0.0633128,0.149144,0.228848,0.44718,0.428843,0.46871,0.478852,0.51482,0.505361,0.371097,0.261441,0.202893,0.223853,0.176557,0.212393,0.121368,0.0730366,0.0761559,0.083058,0.0187615,0.022873,0.0277272,0.0387091,0.0483005,0.0815193,0.142788,0.213907,0.344526,0.49858,0.560405,0.570093,0.570996,0.571282,0.571518,0.571403,0.571209,0.570734,0.569605,0.56778,0.564942,0.556855,0.532981,0.492805,0.426441,0.376637,0.275459,0.235239,0.160882,0.131194,0.100302,0.0684032,0.0555365,0.0280805,0.0236116,0.01903,0.00777604
eve3746_tlm20,0.00418459,0.00434924,0.00439859,0.00435113,0.004273,0.004071,0.00394658,0.00388121,0.00383066,0.00379962,0.00378376,0.00376987,0.0037518,0.00374434,0.00374201,0.00374379,0.00374915,0.00376491,0.00380035,0.00390416,0.00417313,0.00427572,0.00510142,0.00516646,0.0056908,0.00474848,0.00443881,0.00433632,0.0047207,0.00579444,0.00588362,0.00628829,0.00612757,0.00667179,0.00700317,0.00810993,0.00804032,0.0102073,0.00898511,0.00866935,0.00949197,0.0117877,0.0134493,0.0191067,0.0436864,0.0996335,0.165963,0.420209,0.401767,0.464899,0.480893,0.541397,0.518702,0.330215,0.263117,0.24411,0.316762,0.253373,0.299775,0.173916,0.104099,0.108555,0.118458,0.0215437,0.026281,0.032002,0.0450901,0.0568892,0.0978255,0.17584,0.262789,0.381697,0.539853,0.629337,0.646258,0.647874,0.648385,0.648771,0.648555,0.648239,0.64735,0.645222,0.641413,0.635738,0.61873,0.575261,0.513803,0.428529,0.374338,0.275017,0.24199,0.164474,0.132179,0.100489,0.069086,0.0562449,0.029996,0.0258627,0.0214245,0.0096011
eve_37,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406322,0.000406482,0.000406305,0.000406301,0.000406301,0.000406305,0.000406442,0.000409696,0.000415264,0.000416307,0.000417556,0.000422361,0.000436164,0.000459376,0.000555253,0.000778022,0.001629408,0.002351589,0.005233684,0.008485139,0.017206455,0.029676173,0.053897274,0.097206569,0.142324515,0.162521138,0.230785634,0.324685718,0.396511795,0.292077732,0.008564533,0.000541277,0.000409877,0.000406417,0.000406305,0.0004063,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.000406299,0.0004063,0.000406302,0.000406337,0.000406685,0.000412744,0.000526378,0.001816406,0.014141019,0.053688383,0.188670355,0.304902405,0.390489839,0.476326063,0.475960331,0.552154547,0.546135458,0.492355184,0.376596062,0.279785606,0.21894236,0.158447648,0.121133308,0.077870962,0.059997134,0.046251254,0.038421222,0.026384018,0.020999054,0.017586345,0.014453495,0.008484107
eve_46,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406296,0.000406298,0.000406298,0.000406302,0.000406307,0.000406315,0.000406364,0.000407965,0.00054913,0.00750442,0.085295495,0.494870767,0.737160038,0.787933326,0.675174596,0.30957696,0.113165313,0.047526954,0.040911911,0.055354362,0.035749552,0.025257517,0.014986982,0.008028885,0.005803102,0.010405486,0.038233358,0.258369026,0.813830573,0.971248022,0.99709885,0.99796181,0.969747864,0.457710729,0.018726469,0.00160653,0.000605024,0.0004701,0.000443998,0.000442469,0.000443975,0.000471984,0.000499772,0.000529524,0.000611913,0.000821342,0.001347218,0.002008193,0.003885051,0.007943201,0.011520836,0.015552885,0.011771347,0.011356493,0.006944403,0.004642241,0.003318747